,StatusExistingCheckingAccount,DurationInMonth,CreditHistory,Purpose,CreditAmount,SavingsAccountBonds,PresentEmploymentSince,InstallmentRatePercentageOfDisposableIncome,PersonalStatusAndSex,OtherDebtorsGuarantors,PresentResidenceSince,Property,Age,OtherInstallmentPlans,Housing,NumberExistingCreditsAtThisBank,Job,NumPeopleLiableToProvideMaintenanceFor,Telephone,ForeignWorker,CreditApproved
0,1,6,5,4,1169,5,5,4,1,1,4,1,5,3,2,2,3,1,2,1,1
1,2,48,3,4,5951,1,3,2,2,1,2,1,1,3,2,1,3,1,1,1,2
2,4,12,5,7,2096,1,4,2,1,1,3,1,4,3,2,1,2,2,1,1,1
3,1,42,3,3,7882,1,4,2,1,3,4,2,4,3,3,1,3,2,1,1,1
4,1,24,4,1,4870,1,3,3,1,1,4,4,4,3,3,2,3,2,1,1,2
5,4,36,3,7,9055,5,3,2,1,1,4,4,3,3,3,1,2,2,2,1,1
6,4,24,3,3,2835,3,5,3,1,1,4,2,4,3,2,1,3,1,1,1,1
7,2,36,3,2,6948,1,3,2,1,1,2,3,3,3,1,1,4,1,2,1,1
8,4,12,3,4,3059,4,4,2,1,1,4,1,5,3,2,1,2,1,1,1,1
9,2,30,5,1,5234,1,1,4,1,1,2,3,2,3,2,2,4,1,1,1,2
10,2,12,3,1,1295,1,2,3,2,1,1,3,2,3,1,1,3,1,1,1,2
11,1,48,3,10,4308,1,2,3,2,1,4,2,1,3,1,1,3,1,1,1,2
12,2,12,3,4,1567,1,3,1,2,1,1,3,1,3,2,1,3,1,2,1,1
13,1,24,5,1,1199,1,5,4,1,1,4,3,5,3,2,2,2,1,1,1,2
14,1,15,3,1,1403,1,3,2,2,1,4,3,2,3,1,1,3,1,1,1,1
15,1,24,3,4,1282,2,3,4,2,1,2,3,2,3,2,1,2,1,1,1,2
16,4,24,5,4,2424,5,5,4,1,1,4,2,4,3,2,2,3,1,1,1,1
17,1,30,1,10,8072,5,2,2,1,1,3,3,2,1,2,3,3,1,1,1,1
18,2,24,3,2,12579,1,5,4,2,1,2,4,3,3,3,1,4,1,2,1,2
19,4,24,3,4,3430,3,5,3,1,1,2,3,2,3,2,1,3,2,2,1,1
20,4,9,5,1,2134,1,3,4,1,1,4,3,4,3,2,3,3,1,2,1,1
21,1,6,3,4,2647,3,3,2,1,1,3,1,3,3,1,1,3,2,1,1,1
22,1,10,5,1,2241,1,2,1,1,1,3,1,4,3,1,2,2,2,1,2,1
23,2,12,5,2,1804,2,2,3,1,1,4,2,3,3,2,1,3,1,1,1,1
24,4,10,5,3,2069,5,3,2,1,1,1,3,2,3,2,2,3,1,1,2,1
25,1,6,3,3,1374,1,3,1,1,1,2,1,3,1,2,1,2,1,2,1,1
26,4,6,1,4,426,1,5,4,1,1,4,3,3,3,2,1,2,1,1,1,1
27,3,12,2,4,409,4,3,3,2,1,3,1,3,3,1,2,3,1,1,1,1
28,2,7,3,4,2415,1,3,3,1,3,2,1,2,3,2,1,3,1,1,1,1
29,1,60,4,10,6836,1,5,3,1,1,4,4,5,3,2,2,3,1,2,1,2
30,2,18,3,10,1913,4,2,3,1,1,3,1,3,1,2,1,3,1,2,1,1
31,1,24,3,3,4020,1,3,2,1,1,2,3,2,2,2,1,3,1,1,1,1
32,2,18,3,1,5866,2,3,2,1,1,2,3,2,3,2,2,3,1,2,1,1
33,4,12,5,10,1264,5,5,4,1,1,4,4,5,3,1,1,2,1,1,1,1
34,3,12,3,3,1474,1,2,4,2,1,1,2,2,1,2,1,4,1,2,1,1
35,2,45,5,4,4746,1,2,4,1,1,2,2,2,3,2,2,2,1,1,1,2
36,4,48,5,7,6110,1,3,1,1,1,3,4,2,1,3,1,3,1,2,1,1
37,3,18,3,4,2100,1,3,4,1,2,2,1,3,2,2,1,3,1,1,1,2
38,3,10,3,5,1225,1,3,2,1,1,2,3,3,3,2,1,3,1,2,1,1
39,2,9,3,4,458,1,3,4,1,1,3,1,1,3,2,1,3,1,1,1,1
40,4,30,3,4,2333,3,5,4,1,1,2,3,2,1,2,1,4,1,1,1,1
41,2,12,3,4,1158,3,3,3,1,1,1,3,2,3,2,1,3,1,2,1,1
42,2,18,4,6,6204,1,3,2,1,1,4,1,3,3,2,1,2,2,2,1,1
43,1,30,5,2,6187,2,4,1,1,1,4,3,1,3,1,2,3,1,1,1,1
44,1,48,5,2,6143,1,5,4,2,1,4,4,5,2,3,2,2,1,1,1,2
45,4,11,5,1,1393,1,2,4,2,1,4,3,3,3,2,2,4,1,1,1,1
46,4,36,3,4,2299,3,5,4,1,1,4,3,3,3,2,1,3,1,1,1,1
47,1,6,3,2,1352,3,1,1,2,1,2,2,1,3,1,1,1,1,2,1,1
48,4,11,5,1,7228,1,3,1,1,1,4,2,3,3,2,2,2,1,1,1,1
49,4,12,3,4,2073,2,3,4,2,2,2,1,2,3,2,1,3,1,1,1,1
50,2,24,4,3,2333,5,2,4,1,1,2,2,2,1,2,1,2,1,1,1,1
51,2,27,4,2,5965,1,5,1,1,1,2,3,2,3,2,2,4,1,2,1,1
52,4,12,3,4,1262,1,3,3,1,1,2,3,2,3,2,1,3,1,1,1,1
53,4,18,3,2,3378,5,3,2,1,1,1,2,2,3,2,1,3,1,2,1,1
54,2,36,4,1,2225,1,5,4,1,1,4,4,5,1,3,2,3,1,2,1,2
55,4,6,2,1,783,5,3,1,1,3,2,1,2,2,2,1,2,2,1,1,1
56,2,12,3,4,6468,5,1,2,1,1,1,4,4,3,2,1,4,1,2,1,2
57,4,36,5,4,9566,1,3,2,2,1,2,3,2,2,2,2,3,1,1,1,1
58,3,18,3,1,1961,1,5,3,2,1,2,3,1,3,2,1,4,1,1,1,1
59,1,36,5,3,6229,1,2,4,2,2,4,4,1,3,1,2,2,1,2,1,2
60,2,9,3,10,1391,1,3,2,1,1,1,1,2,1,2,1,3,1,2,1,1
61,2,15,5,4,1537,5,5,4,1,3,4,1,4,3,2,2,3,1,2,1,1
62,2,36,1,10,1953,1,5,4,1,1,4,4,5,3,3,1,4,1,2,1,2
